Period,7th March 2024 00:00 -> 21st May 2025 09:45,

Time,53 Perouse Rd,Addiscombe Rd,Auburn Rd & Mary St,Auburn Rd eastern footpath,Belmore Rd,Blaxcell St A,Blaxcell St B,Blaxcell St C,Bourke Street & Lachlan Street,"Civic Park, Pendle Hill",Coles St,Collins Street,Concord Rd East footpath,Concord Rd West footpath,Correys Ave,Doncaster Ave North of Todman Ave,Elizabeth St A,Elizabeth St B,Evaline St North side,Evaline St South side,Houston Rd and Day Ave,Kenneth Rd,Lidcombe town centre,Oliver St & Brighton St (East),Oliver St & Brighton St (West),Oliver Street (east footpath),Oliver Street (west footpath),Parramatta Rd footpath,Perouse Rd footpath,Rainbow street,St Pauls Street footpath,
Sat 7th Sep 2024,,614,,,,,,,,,,,,,,,,,,,,1586,,,,,,,,,,
Sun 8th Sep 2024,,463,,,,,,,,,,,,,,,,,,,,1319,,,,,,,,,,
Mon 9th Sep 2024,,530,,,,,,,,,,,,,,,,,,,,1658,,,,,,,,,,
Tue 10th Sep 2024,,690,,,,,,,,,,,,,,,,,,,,1746,,,,,,,,,,
Wed 11th Sep 2024,,462,,,,,,,,,,,,,,,,,,,,1772,,,,,,,,,,
Thu 12th Sep 2024,,380,,,,,,,,,,,,,,,,,,,,1346,,,,,,,,,,
Fri 13th Sep 2024,,215,,,,,,,,,,,,,,,,,,,,673,,,,,,,,,,
Sat 14th Sep 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 15th Sep 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 16th Sep 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 17th Sep 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 18th Sep 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2490,,261,
Thu 19th Sep 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5227,,2781,
Fri 20th Sep 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4317,,2063,
Sat 21st Sep 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3802,,1748,
Sun 22nd Sep 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3288,,1825,
Mon 23rd Sep 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3289,,1735,
Tue 24th Sep 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3771,,1699,
Wed 25th Sep 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3733,,787,
Thu 26th Sep 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2724,,1767,
Fri 27th Sep 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4206,,810,
Sat 28th Sep 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3886,,859,
Sun 29th Sep 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3430,,2267,
Mon 30th Sep 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3124,,1172,
Tue 1st Oct 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3689,,3243,
Wed 2nd Oct 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3304,,2452,
Thu 3rd Oct 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2961,,3445,
Fri 4th Oct 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3990,,3907,
Sat 5th Oct 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3396,,4242,
Sun 6th Oct 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2806,,3434,
Mon 7th Oct 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2765,,1713,
Tue 8th Oct 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2385,,3368,
Wed 9th Oct 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985,,3227,
Thu 10th Oct 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2354,,3328,
Fri 11th Oct 2024,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,3645,,143,
Sat 12th Oct 2024,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,3807,,,
Sun 13th Oct 2024,1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,3360,,,
Mon 14th Oct 2024,940,,,,,,,,,,,,,,,,,,,,,,,,,,,,2727,,,
Tue 15th Oct 2024,1238,,,,,,,,,,,,,,,,,,,,,,,,,,,,3803,,,
Wed 16th Oct 2024,1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,3596,,,
Thu 17th Oct 2024,1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,2879,,,
Fri 18th Oct 2024,1344,,,,,,,,,,,,,,,,,,,,,,,,,,,,4171,,,
Sat 19th Oct 2024,1313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 20th Oct 2024,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 21st Oct 2024,1070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 22nd Oct 2024,1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 23rd Oct 2024,1418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 24th Oct 2024,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 25th Oct 2024,1575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 26th Oct 2024,1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 27th Oct 2024,1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 28th Oct 2024,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 29th Oct 2024,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 30th Oct 2024,1480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 31st Oct 2024,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 1st Nov 2024,1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 2nd Nov 2024,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 3rd Nov 2024,1245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 4th Nov 2024,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 5th Nov 2024,1281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 6th Nov 2024,1336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 7th Nov 2024,1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 8th Nov 2024,1582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 9th Nov 2024,1458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 10th Nov 2024,1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 11th Nov 2024,1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 12th Nov 2024,1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed 13th Nov 2024,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 14th Nov 2024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 15th Nov 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat 16th Nov 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 17th Nov 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 18th Nov 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 19th Nov 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
